Família;Espécie
ANACARDIACEAE;Mangifera indica L.
ANACARDIACEAE;Schinus terebinthifolia
ANNONACEAE;Guatteria australis 
ARAUCARIACEAE;Araucaria angustifolia 
BORAGINACEAE;Cordia magnoliifolia 
BURSERACEAE;Protium sp.
CANELLACEAE;Cinnamodendron dinisii 
EUPHORBIACEAE;Croton floribundus 
EUPHORBIACEAE;Alchornea sidifolia 
FABACEAE;Holocalyx balansae
FABACEAE;Hymenaea courbaril 
FABACEAE;Libidibia ferrea 
FABACEAE;Machaerium villosum 
FABACEAE;Paubrasilia echinata 
FABACEAE;Piptadenia gonoacantha 
FABACEAE;Senna macranthera 
FABACEAE;Senna multijuga
LAURACEAE;Nectandra barbellata
LAURACEAE;Persea americana
LECYTHIDACEAE;Cariniana estrellensis 
LYTHRACEAE;Lafoensia glyptocarpa 
MALVACEAE;Ceiba speciosa
MALVACEAE;Luehea sp.
MELIACEAE;Cedrela fissilis 
MORACEAE;Artocarpus heterophyllus 
MORACEAE;Ficus sp.
MORACEAE;Sorocea bonplandii 
MYRTACEAE;Calyptranthes concinna 
MYRTACEAE;Campomanesia phaea 
MYRTACEAE;Campomanesia sp.
MYRTACEAE;Eucalyptus sp.
MYRTACEAE;Eugenia pyriformis 
MYRTACEAE;Marlierea sp.
MYRTACEAE;Myrcia splendens 
MYRTACEAE;Myrcia tomentosa 
MYRTACEAE;Syzygium jambos 
NYCTAGINACEAE;Guapira opposita
PINACEAE;Pinus sp.
PRIMULACEAE;Myrsine umbellata 
RHAMNACEAE;Hovenia dulcis 
RUBIACEAE;Bathysa australis
SALICACEAE;Casearia sylvestris 
SAPINDACEAE;Cupania oblongifolia
SAPINDACEAE;Cupania vernalis 
SAPINDACEAE;Talisia esculenta 
SOLANACEAE;Solanum granulosoleprosum 
URTICACEAE;Cecropia sp.
PINACEAE;Pinus sp.
PRIMULACEAE;Myrsine umbellata 
RHAMNACEAE;Hovenia dulcis 
RUBIACEAE;Bathysa australis
SALICACEAE;Casearia sylvestris 
SAPINDACEAE;Cupania oblongifolia
SAPINDACEAE;Cupania vernalis 
SAPINDACEAE;Talisia esculenta 
SOLANACEAE;Solanum granulosoleprosum 
URTICACEAE;Cecropia sp.
